Comp,Tyramine,Glutamate,5_Aminovalerate,AIB,Butyrate,3_Hydroxyglutarate,2_Ketoglutarate,Glycerol,Lactobacillus,Glycyl_Glycine,Threonate,Threitol,3_Aminopropanoate,Nicotinate,Proline,Glycine,Clostridium,Orotate,Bacillus,Erythritol,Histidine,Taurine,2_Hydroxyglutarate,AA
0,0.117651176,41.73374382,1.273717059,0,1.67,0,0.019242059,161.8051526,16.90042076,0.009179706,0.029195882,0.036876765,0.332265,0.109007059,4934.68427,84.28806265,7.82408335,0,7.343217792,0.145614412,5.355485294,2.847338824,0.014881765,5066.061562
0,0.041063654,9.792631154,1.078354327,0.021227596,3.216,0.014722212,0.088650288,152.0460363,5.088717777,0.0049875,0.012404135,0.037615385,0.300875192,0.122907692,926.0687576,43.19744538,10.14395715,0,32.94275193,0.161384135,0,0.654800481,0.007618558,979.0588341
0,0.202613529,25.23884588,1.488131765,0,1.443,0.001893824,0.028217941,160.3003953,6.180641184,0.01618,0.026692941,0.040568824,0.281004706,0.071131176,2995.742876,77.92694647,6.971845458,0,19.05055487,0.145905,5.55879,4.047970882,0.006158235,3104.467458
0,0.1281987,42.2009334,1.3388088,0,2.94,0.0022953,0.0534042,175.1840751,20.67851373,0.0144552,0.0459399,0.0456105,0.301809,0.114309,4551.06614,109.6333599,25.28271405,0,7.996768982,0.1878195,4.391793,1.5242631,0.0094374,4707.292226
1,0.079523824,13.05834412,0.906711176,0.036272353,3.506,0,0.017422647,172.8031159,10.75544731,0.004097353,0.020099706,0.047848824,0.136929412,0.041845,945.0386265,41.57575706,1.757056495,0,7.084764928,0.175874706,0.167269706,0.217880588,0.008133235,999.8399974
1,0.1965483,35.0270973,0.5161266,0,11.547,0,0.0207588,159.8584701,10.14627351,0.0104151,0.0211125,0.0413649,0.4412277,0.0528462,4550.144568,87.7894722,1.694915254,0,5.641978175,0.1985181,16.7490642,5.202345,0.0135846,4689.710202
1,0.074535882,0.759226471,0.194752353,0.149658529,0.738,0,0.024537647,159.5643279,1.007194245,0.003615294,0.020817941,0.048411176,0,0.071153824,1906.422861,35.75385324,3.549160671,0,23.21342926,0.187568824,2.451980882,0.272919412,0.005069706,1945.387922
1,0.059892059,0.921321176,0.217173529,0.131970294,4.312,0,0.044208529,195.3681374,17.35307313,0.004079706,0.059331765,0.063316176,0.007003529,0.178854412,4315.424561,66.64694059,0.224315837,0,7.169134141,0.307916471,0.565444706,0,0.017905588,4383.558267
0,2.520549057,9.20267066,11.67971462,0.293178962,0,1.471082547,0.131265849,5.651475283,59.87290059,0.494831604,0.023734245,0.53518783,0.58755566,1.15699783,0.502066415,8.73783283,0,0.05167783,0,3.155051887,1.584890094,1.438027925,2.739876226,20.02746
0,0.037345982,3.553327232,0.041078036,0.307415089,0,1.197727232,0.212183571,0,20.99232838,0.024244018,0.059230446,0.390595982,0.307680268,1.653994286,0.727298304,1.034417143,0,0.024107411,4.583042742,1.009590804,0.422345357,0,0.480152143,5.737388036
0,0.164015882,6.779743824,5.430631765,0.393378824,0,1.301171765,0.455746176,1.630113824,11.47436713,0.075034706,0.007553529,0.089959412,0.75685,2.874925882,0.160959118,1.383944706,0,0.022094118,8.942882585,0.16776,0,0.511839706,0.737492647,8.324647648
0,0.222085755,6.031639811,3.424123585,0.501683491,293.306,1.355095755,0.89157,0,5.458124553,0.062180943,0.285374717,0.711108396,1.125545377,2.550387736,0.262163208,1.317595472,0,0.013803396,0,3.338156887,0.116947925,1.03205717,1.009006698,7.728346416
1,0.072585,0.454937885,1.137498462,1.074088269,538.532,1.279636731,0.060118846,3.071190577,72.53482505,0.062448173,0.014329038,0.446380962,0.400347115,2.533131058,0.162288462,0.422565577,0,0,0,2.955912115,0,2.309087596,0.328390096,1.039791924
1,0.087246429,1.261384286,1.65927,0.444291964,0,1.226156518,0.075294911,0,32.90764791,0.074251071,0.305269286,0.916174286,0.465022768,1.678292411,0.108579911,1.306111339,0,0.061873929,0,5.478525268,0.153567321,2.476000446,0.799772946,2.829642857
1,0.0415662,1.6681131,0.0396519,0.6444264,491.069,1.3941864,0.0821595,2.1310272,32.60521211,0.0552564,0.0894195,0.6168219,0.1808595,1.4047107,0.2251869,0.9001062,0,0.0360531,0,3.4376118,0.2167053,5.4344373,1.2099315,3.0101115
1,0.005543491,0.106483019,0.013967547,1.013601226,0,1.201968113,0.07679434,1.717007547,41.6387545,0,0.017491132,0.426226981,0.033395094,2.375441038,0.179804717,0.499286604,0,0.012694811,0,1.833901698,0.046144811,2.554725,0.050052736,0.831719151
0,0.598012846,2.635119692,4.845362077,8.507432308,24094.279,0.941658923,0,4.477000385,8.807761042,33.94963223,0.003868385,0.021993462,1.314070846,0.392796692,4.962137077,11.33003862,0.382946132,12.58706608,0,0.096609462,0,0,0.080641615,18.92729539
0,0.222069808,3.138327981,2.751086827,10.36636904,23597.751,1.161659423,0,9.253237212,17.97857476,8.162875385,0.004911058,0.018982788,0.872027596,0.215232404,6.122257212,9.450430962,7.359105729,12.35757548,0,0.118515288,0,0,0.087508846,18.71101616
0,0.239360556,5.177660278,2.194621111,9.737486111,28847.725,1.101782222,0,3.868912778,13.01474326,1.218299722,0,0.0066775,0.695756667,0.180900556,3.735411389,4.329886667,14.89578038,46.58511778,0,0.046529167,0,0,0.032268333,13.24295833
0,0.910642045,3.075700227,3.649766818,10.61265091,24935.013,0.918180909,0,14.07688068,24.450881,31.44885591,0.003561591,0.016475227,2.941697727,0.430001591,4.97803,7.971317955,23.43712286,16.55624977,0,0.053634773,0,0,0.016015455,16.02504818
1,0.16462375,3.0020785,4.50031875,12.95484225,27538.641,1.00132825,0,11.30620825,52.41400121,3.4528705,0,0.0227945,1.35388175,0.2488195,4.04627825,9.2468345,5.974652987,9.748979,0,0.06516325,0,0,0.0288735,16.29519125
1,0.073481121,6.403278879,3.550085948,8.425676379,35702.044,1.008015,0,22.21694767,48.52978778,3.305084483,0.003349914,0.019150345,0.878160259,0.078823966,5.876278966,10.88411095,18.25620046,6.712720862,0,0.118969138,0,0,0.028819914,23.1636688
1,0.067542295,3.575149426,7.116761311,327.1615399,46483.743,0.961373115,0,9.095319344,20.40912297,2.463632459,0.001553361,0.008408115,0.689322295,0.080251967,2.249252705,4.545299016,26.07571126,4.912318279,0,0.024830902,0,0,0.01335418,10.36970115
1,0.119218393,2.527986964,2.508644464,11.13756402,29572.128,1.085021518,0,28.64848473,54.27101968,10.27163571,0.002829107,0.026441786,1.445242232,0.122505268,3.331271786,8.962753929,11.29248658,5.130878839,0,0.112604732,0,0,0.0272325,14.82201268